date, pm25, o3
2017-03-10,22,19
2017-03-11,21,24
2017-03-12,20,27
2017-03-13,20,18
2017-03-14,18,17
2017-03-15,26,36
2017-03-16,29,30
2017-03-17,31,29
2017-03-18,32,28
2017-03-19,40,29
2017-03-20,40,30
2017-03-21,23,30
2017-03-22,30,27
2017-03-23,41,32
2017-03-24,38,29
2017-03-25,66,29
2017-03-26,59,36
2017-03-27,66,32
2017-03-28,59,31
2017-03-29,61,28
2017-03-30,61,36
2017-03-31,19,33
2017-04-01,30,35
2016-10-02,37,37
2016-10-03,43,34
2016-10-04,40,33
2016-10-05,40,23
2016-10-06,36,18
2016-10-07,37,20
2016-10-08,34,36
2016-10-09,41,38
2016-10-10,49,42
2016-10-11,35,46
2016-10-12,44,32
2016-10-13,41,27
2016-10-14,29,25
2016-10-15,31,22
2016-10-16,38,20
2016-10-17,26,19
2016-10-18,27,16
2016-10-19,37,18
2016-10-20,30,23
2016-10-21,32,37
2016-10-22,24,41
2016-07-02,71,13
2016-07-03,64,17
2016-07-04,57,16
2016-07-05,51,15
2016-07-06,50,17
2016-07-07,54,15
2016-07-08,54,13
2016-07-09,52,12
2016-07-10,72,15
2016-07-11,95,13
2016-07-12,86,14
2016-07-13,55,13
2016-07-14,55,13
2016-07-15,59,11
2016-07-16,83,18
2016-07-17,44,15
2016-07-18,35,17
2016-07-19,35,19
2016-07-20,30,23
2016-07-21,30,18
2016-07-22,31,22
2016-07-23,33,22
2016-07-24,33,14
2016-07-25,31,17
2016-07-26,55,15
2016-07-27,59,14
2016-07-28,59,16
2016-07-29,36,21
2016-07-30,33,20
2016-07-31,28,16
2016-08-01,48,16
2016-08-02,64,14
2016-08-03,54,17
2016-08-04,43,15
2016-08-05,37,14
2016-08-06,46,16
2016-08-07,53,16
2016-08-08,33,18
2016-08-09,29,16
2016-08-10,51,16
2016-09-17,74,17
2016-09-18,67,15
2016-09-30,47,39
2016-10-01,40,39
2016-04-02,57,30
2016-04-03,23,40
2016-04-04,39,39
2016-04-05,32,36
2016-04-06,37,34
2016-04-07,46,34
2016-04-08,39,29
2016-04-09,34,34
2016-04-10,38,26
2016-04-11,39,23
2016-04-12,67,23
2016-04-13,69,21
2016-04-14,42,32
2016-04-15,32,27
2016-04-16,47,20
2016-04-17,61,23
2016-04-18,93,28
2016-04-19,58,42
2016-04-20,26,32
2016-04-21,37,29
2016-04-22,38,33
2016-04-23,30,31
2016-04-24,35,25
2016-04-25,34,24
2016-04-26,59,26
2016-04-27,115,34
2016-04-28,96,26
2016-04-29,105,20
2016-04-30,80,29
2016-05-01,88,29
2016-05-02,82,27
2016-05-03,38,26
2016-05-04,25,41
2016-05-05,32,49
